miRNA	lncRNA
hsa-miR-489-3p	AC079586.1
hsa-miR-377-3p	LINC01002
hsa-miR-190a-5p	DPP10-AS2
hsa-miR-181a-5p	LL22NC03-27C5.1
hsa-miR-650	RP11-458F8.4
hsa-miR-139-3p	LINC00689
hsa-miR-18a-3p	CTD-2619J13.14
hsa-miR-185-5p	RP11-384K6.6
hsa-miR-3664-5p	RP11-469N6.1
hsa-miR-122-5p	RP11-184M15.2
hsa-miR-499a-3p	FAM182A
hsa-miR-544a	RP11-54O7.17
hsa-miR-515-5p	RP13-580B18.4
hsa-miR-5787	AP001626.2
hsa-miR-888-3p	FAM95B1
hsa-miR-223-3p	FAM95B1
hsa-miR-542-3p	RP4-671O14.7
hsa-miR-1184	HCG22
hsa-miR-671-5p	CTD-2561B21.7
hsa-miR-421	LINC01165
hsa-miR-642a-5p	RP11-728E14.3
hsa-miR-338-3p	RP11-780K2.1
hsa-miR-299-3p	ZNF883
hsa-miR-1224-5p	NNT-AS1
hsa-miR-510-5p	ZNF337-AS1
hsa-miR-7-5p	AC006019.3
hsa-miR-28-5p	RP3-388N13.3
hsa-miR-34c-3p	CTD-2281E23.3
hsa-miR-484	RP5-1092A3.5
hsa-miR-512-3p	RP1-182D15.2
hsa-miR-744-5p	RP11-394A14.2
hsa-miR-541-3p	FLJ35934
hsa-miR-338-3p	PCBP3-OT1
hsa-miR-542-3p	AC079586.1
hsa-miR-579-3p	LINC00535
hsa-miR-185-5p	FLJ35934
hsa-miR-3662	LL22NC03-2H8.5
hsa-miR-185-3p	RP11-394A14.2
hsa-miR-1226-5p	CTB-60B18.18
hsa-miR-1226-3p	RP4-539M6.22
hsa-miR-140-3p	CITF22-1A6.3
hsa-miR-1231	HPVC1
hsa-miR-1470	LINC01002
hsa-miR-943	AP001476.4
hsa-miR-670-5p	RP11-1334A24.6
hsa-miR-545-3p	LINC01165
hsa-miR-1228-3p	CTD-3138B18.5
hsa-miR-3664-5p	LINC00689
hsa-miR-558	RP5-991B18.1
hsa-miR-1321	RP11-269G24.6
hsa-miR-561-3p	RP11-231G3.1
hsa-miR-3662	RP11-110L15.2
hsa-miR-5787	RP11-394A14.2
hsa-miR-142-3p	MUC2
hsa-miR-1-3p	RP3-470B24.5
hsa-miR-625-5p	LINC00173
hsa-miR-744-5p	RP11-54O7.17
hsa-miR-10a-5p	RP11-54O7.17
hsa-miR-324-5p	RP11-54O7.17
hsa-miR-20a-3p	RP11-54O7.17
hsa-miR-663b	RP11-54O7.17
hsa-miR-149-3p	LINC00265
hsa-miR-1200	LINC01123
hsa-miR-1976	LINC01123
hsa-miR-27a-5p	AP000345.1
hsa-miR-185-3p	AP000345.1
hsa-miR-28-5p	RP11-458F8.4
hsa-miR-425-5p	AC011718.2
hsa-miR-149-3p	RP11-311F12.1
hsa-miR-615-5p	COL4A2-AS2
hsa-miR-939-5p	LINC00173
hsa-miR-885-3p	LINC00689
hsa-miR-593-3p	CTD-2532K18.2
hsa-miR-194-3p	RP4-671O14.7
hsa-miR-217	CTB-77H17.1
hsa-miR-558	LINC00265
hsa-miR-1231	RP11-426C22.4
hsa-miR-124-3p	AC011718.2
hsa-miR-629-3p	AC097468.4
hsa-miR-766-3p	RP11-1217F2.15
hsa-miR-550a-5p	RP11-394A14.4
hsa-miR-6089	AC093388.3
hsa-miR-499a-3p	CH507-216K13.2
hsa-miR-18a-3p	NNT-AS1
hsa-miR-7150	RP11-630C16.1
hsa-miR-670-5p	RP11-123I22.1
hsa-miR-130b-5p	GS1-251I9.3
hsa-miR-888-3p	RP1-27K12.2
hsa-miR-223-5p	LINC00689
hsa-miR-766-3p	CTD-3193O13.12
hsa-miR-542-3p	RP11-157B13.7
hsa-miR-1208	C22orf34
hsa-miR-149-3p	LINC00689
hsa-miR-650	LINC00689
hsa-miR-6089	LINC00689
hsa-miR-1236-3p	LINC00689
hsa-miR-2113	AC005264.2
hsa-miR-885-3p	RP4-697K14.15
hsa-miR-129-5p	AC006548.28
hsa-miR-629-3p	RP11-629N8.3
hsa-miR-650	LINC00265
hsa-miR-877-3p	LINC00940
hsa-miR-145-5p	CTD-3099C6.5
hsa-miR-16-1-3p	CTD-3099C6.5
hsa-miR-770-5p	CTD-3099C6.5
hsa-miR-140-5p	MUC19
hsa-miR-4482-5p	LINC01070
hsa-miR-363-5p	AC011284.3
hsa-miR-342-5p	AC011284.3
hsa-miR-873-5p	RP4-539M6.22
hsa-miR-214-5p	HPVC1
hsa-miR-5787	RP5-1171I10.5
hsa-miR-627-5p	SPACA6P
hsa-miR-550a-5p	RP11-394A14.2
hsa-miR-148a-3p	RP1-182D15.2
hsa-miR-1976	LINC01523
hsa-miR-1226-3p	RP11-1217F2.15
hsa-miR-1236-3p	LINC00940
hsa-miR-515-5p	SPACA6P
hsa-miR-6089	AATBC
hsa-miR-223-5p	RP11-426C22.4
hsa-miR-1321	CTD-2619J13.14
hsa-miR-515-5p	AC093642.4
hsa-miR-218-2-3p	LINC01043
hsa-miR-148a-3p	SNHG14
hsa-miR-130a-3p	SNHG14
hsa-miR-1976	CTD-3032J10.2
hsa-miR-490-3p	XX-C2158C6.3
hsa-miR-670-5p	HCG22
hsa-miR-7515	LINC00689
hsa-miR-151a-5p	AC011718.2
hsa-miR-1206	LINC01043
hsa-miR-1197	AC011718.2
hsa-miR-1273g-5p	MUC19
hsa-miR-186-5p	LINC00613
hsa-miR-199a-5p	MUC19
hsa-miR-103a-3p	LINC01070
hsa-miR-218-5p	RP11-526P6.1
